日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,2010-01-08,7.11,7.16,7.17,6.99,30322,21560022.0,2.53,0.7,0.05,0.89
2010-01-11,2010-01-11,7.18,7.13,7.23,7.09,26241,18772804.0,1.96,-0.42,-0.03,0.77
2010-01-12,2010-01-12,7.13,7.31,7.31,7.13,44321,32156570.0,2.52,2.52,0.18,1.31
2010-01-13,2010-01-13,7.21,7.2,7.27,7.13,44274,31926224.0,1.92,-1.5,-0.11,1.31
2010-01-14,2010-01-14,7.24,7.52,7.54,7.21,92682,68908456.0,4.58,4.44,0.32,2.73
2010-01-18,2010-01-18,7.58,7.65,7.66,7.48,71246,53884920.0,2.39,1.73,0.13,2.1
2010-01-19,2010-01-19,7.63,7.57,7.65,7.51,48737,36990684.0,1.83,-1.05,-0.08,1.44
2010-01-20,2010-01-20,7.59,7.4,7.69,7.39,72406,54633440.0,3.96,-2.25,-0.17,2.14
2010-01-21,2010-01-21,7.4,7.58,7.62,7.38,55948,42252884.0,3.24,2.43,0.18,1.65
2010-01-22,2010-01-22,7.49,7.25,7.49,7.19,39913,29342480.0,3.96,-4.35,-0.33,1.18
2010-01-25,2010-01-25,7.23,7.06,7.27,7.02,37008,26388296.0,3.45,-2.62,-0.19,1.09
2010-01-26,2010-01-26,7.07,6.66,7.1,6.58,33264,22746284.0,7.37,-5.67,-0.4,0.98
2010-01-27,2010-01-27,6.71,6.65,6.79,6.61,19453,13040132.0,2.7,-0.15,-0.01,0.57
2010-01-28,2010-01-28,6.65,6.77,6.8,6.63,14933,10093478.0,2.56,1.8,0.12,0.44
2010-01-29,2010-01-29,6.77,6.87,6.89,6.7,26972,18485048.0,2.81,1.48,0.1,0.8
2010-02-01,2010-02-01,6.78,6.88,6.98,6.72,29837,20457330.0,3.78,0.15,0.01,0.88
2010-02-02,2010-02-02,6.9,6.88,7.0,6.74,23459,16271198.0,3.78,0.0,0.0,0.69
2010-02-03,2010-02-03,6.78,7.02,7.03,6.69,30132,20922900.0,4.94,2.03,0.14,0.89
2010-02-04,2010-02-04,7.03,7.06,7.09,6.96,25791,18189996.0,1.85,0.57,0.04,0.76
2010-02-05,2010-02-05,6.95,6.96,7.06,6.78,25332,17589632.0,3.97,-1.42,-0.1,0.75
2010-02-08,2010-02-08,6.91,6.89,6.98,6.87,11386,7888962.5,1.58,-1.01,-0.07,0.34
2010-02-09,2010-02-09,6.86,6.88,6.91,6.79,15891,10948030.0,1.74,-0.15,-0.01,0.47
2010-02-10,2010-02-10,6.89,6.93,6.93,6.86,13977,9659683.0,1.02,0.73,0.05,0.41
2010-02-11,2010-02-11,6.91,6.94,6.95,6.89,14371,9971813.0,0.87,0.14,0.01,0.42
2010-02-12,2010-02-12,6.96,7.0,7.05,6.93,18908,13247006.0,1.73,0.86,0.06,0.56
2010-02-22,2010-02-22,6.99,6.93,6.99,6.92,15979,11144586.0,1.0,-1.0,-0.07,0.47
2010-02-23,2010-02-23,6.94,6.94,6.97,6.8,16971,11694930.0,2.45,0.14,0.01,0.5
2010-02-24,2010-02-24,7.1,7.64,7.64,7.1,76491,57985792.0,7.78,10.09,0.7,2.26
2010-02-25,2010-02-25,8.07,8.41,8.41,7.92,438970,361254720.0,6.41,10.08,0.77,12.95
2010-02-26,2010-02-26,8.36,8.41,8.63,8.13,327769,274203488.0,5.95,0.0,0.0,9.67
2010-03-01,2010-03-01,8.32,8.59,8.66,8.28,243368,207863248.0,4.52,2.14,0.18,7.18
2010-03-02,2010-03-02,8.59,8.51,8.77,8.4,205332,176487552.0,4.31,-0.93,-0.08,6.06
2010-03-03,2010-03-03,8.37,8.43,8.67,8.32,168470,143238288.0,4.11,-0.94,-0.08,4.97
2010-03-04,2010-03-04,8.43,8.04,8.65,8.0,170924,142018224.0,7.71,-4.63,-0.39,5.04
2010-03-05,2010-03-05,8.03,8.14,8.28,8.03,100039,81678592.0,3.11,1.24,0.1,2.95
2010-03-08,2010-03-08,8.14,8.21,8.27,8.1,70490,57970600.0,2.09,0.86,0.07,2.08
2010-03-09,2010-03-09,8.3,8.06,8.33,7.98,64846,52533356.0,4.26,-1.83,-0.15,1.91
2010-03-10,2010-03-10,8.02,8.19,8.24,7.99,73141,59456232.0,3.1,1.61,0.13,2.16
2010-03-11,2010-03-11,8.18,8.11,8.18,7.99,48149,38957436.0,2.32,-0.98,-0.08,1.42
2010-03-12,2010-03-12,8.08,7.82,8.11,7.8,64600,51108824.0,3.82,-3.58,-0.29,1.91
2010-03-15,2010-03-15,7.73,7.66,7.81,7.64,37988,29347190.0,2.17,-2.05,-0.16,1.12
2010-03-16,2010-03-16,7.69,7.83,7.83,7.64,33794,26185846.0,2.48,2.22,0.17,1.0
2010-03-17,2010-03-17,7.83,8.04,8.05,7.76,62172,49377804.0,3.7,2.68,0.21,1.83
2010-03-18,2010-03-18,8.05,8.04,8.14,7.96,55031,44326820.0,2.24,0.0,0.0,1.62
2010-03-19,2010-03-19,8.07,8.06,8.1,7.93,37512,30079088.0,2.11,0.25,0.02,1.11
2010-03-22,2010-03-22,8.1,8.24,8.28,8.03,79818,65621788.0,3.1,2.23,0.18,2.36
2010-03-23,2010-03-23,8.21,8.02,8.21,8.01,51822,41948884.0,2.43,-2.67,-0.22,1.53
2010-03-24,2010-03-24,7.99,8.0,8.09,7.98,35077,28224164.0,1.37,-0.25,-0.02,1.04
