日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,2010-01-08,3.29,3.31,3.34,3.25,16624,10924246.0,2.72,0.0,0.0,1.95
2010-01-11,2010-01-11,3.32,3.35,3.42,3.32,22855,15366244.0,3.02,1.21,0.04,2.68
2010-01-12,2010-01-12,3.35,3.41,3.41,3.3,19930,13404902.0,3.28,1.79,0.06,2.33
2010-01-13,2010-01-13,3.34,3.38,3.45,3.28,26149,17781346.0,4.99,-0.88,-0.03,3.06
2010-01-14,2010-01-14,3.36,3.48,3.52,3.36,33170,22968930.0,4.73,2.96,0.1,3.88
2010-01-15,2010-01-15,3.48,3.6,3.65,3.46,58484,41915136.0,5.46,3.45,0.12,6.85
2010-01-18,2010-01-18,3.78,3.78,3.78,3.71,36635,27641570.0,1.94,5.0,0.18,4.29
2010-01-19,2010-01-19,3.94,3.7,3.94,3.64,71150,53582444.0,7.94,-2.12,-0.08,8.33
2010-01-20,2010-01-20,3.71,3.54,3.74,3.51,42441,30487118.0,6.22,-4.32,-0.16,4.97
2010-01-21,2010-01-21,3.52,3.7,3.71,3.5,43407,31607798.0,5.93,4.52,0.16,5.08
2010-01-22,2010-01-22,3.65,3.59,3.66,3.53,28470,20388302.0,3.51,-2.97,-0.11,3.33
2010-01-25,2010-01-25,3.57,3.55,3.65,3.55,13462,9667539.0,2.79,-1.11,-0.04,1.58
2010-01-26,2010-01-26,3.55,3.37,3.58,3.37,25568,17467856.0,5.92,-5.07,-0.18,2.99
2010-01-27,2010-01-27,3.37,3.34,3.44,3.23,17427,11670930.0,6.23,-0.89,-0.03,2.04
2010-01-28,2010-01-28,3.43,3.3,3.44,3.28,12092,8030176.5,4.79,-1.2,-0.04,1.42
2010-02-01,2010-02-01,3.18,3.31,3.35,3.18,14560,9473780.0,5.15,0.3,0.01,1.71
2010-02-02,2010-02-02,3.29,3.28,3.37,3.27,10124,6742421.5,3.02,-0.91,-0.03,1.19
2010-02-03,2010-02-03,3.33,3.44,3.44,3.26,24690,16757521.0,5.49,4.88,0.16,2.89
2010-02-04,2010-02-04,3.44,3.42,3.48,3.39,14887,10252359.0,2.62,-0.58,-0.02,1.74
2010-02-05,2010-02-05,3.37,3.35,3.46,3.28,14375,9733994.0,5.26,-2.05,-0.07,1.68
2010-02-08,2010-02-08,3.34,3.39,3.4,3.29,11457,7671598.0,3.28,1.19,0.04,1.34
2010-02-09,2010-02-09,3.41,3.34,3.47,3.3,14067,9539232.0,5.01,-1.47,-0.05,1.65
2010-02-10,2010-02-10,3.36,3.51,3.51,3.34,21762,15048402.0,5.09,5.09,0.17,2.55
2010-02-11,2010-02-11,3.55,3.57,3.67,3.45,25819,18636316.0,6.27,1.71,0.06,3.02
2010-02-12,2010-02-12,3.55,3.57,3.63,3.52,11298,8063511.0,3.08,0.0,0.0,1.32
2010-02-22,2010-02-22,3.57,3.54,3.59,3.48,18150,12797240.0,3.08,-0.84,-0.03,2.13
2010-02-23,2010-02-23,3.51,3.53,3.55,3.49,8920,6270062.5,1.69,-0.28,-0.01,1.04
2010-02-24,2010-02-24,3.51,3.61,3.61,3.51,13329,9533088.0,2.83,2.27,0.08,1.56
2010-02-25,2010-02-25,3.62,3.61,3.62,3.56,19882,14268366.0,1.66,0.0,0.0,2.33
2010-02-26,2010-02-26,3.59,3.6,3.68,3.58,22727,16464186.0,2.77,-0.28,-0.01,2.66
2010-03-01,2010-03-01,3.63,3.63,3.67,3.59,16804,12165759.0,2.22,0.83,0.03,1.97
2010-03-02,2010-03-02,3.65,3.67,3.7,3.58,30963,22450724.0,3.31,1.1,0.04,3.63
2010-03-03,2010-03-03,3.65,3.67,3.69,3.63,18406,13495421.0,1.63,0.0,0.0,2.16
2010-03-04,2010-03-04,3.66,3.53,3.72,3.51,29768,21540486.0,5.72,-3.81,-0.14,3.49
2010-03-05,2010-03-05,3.57,3.56,3.59,3.52,13885,9874256.0,1.98,0.85,0.03,1.63
2010-03-08,2010-03-08,3.59,3.59,3.64,3.56,12301,8871375.0,2.25,0.84,0.03,1.44
2010-03-09,2010-03-09,3.6,3.58,3.63,3.57,14663,10547638.0,1.67,-0.28,-0.01,1.72
2010-03-10,2010-03-10,3.58,3.51,3.61,3.48,18843,13318230.0,3.63,-1.96,-0.07,2.21
2010-03-11,2010-03-11,3.51,3.52,3.55,3.48,15138,10615752.0,1.99,0.28,0.01,1.77
2010-03-12,2010-03-12,3.52,3.43,3.52,3.4,17432,12043305.0,3.41,-2.56,-0.09,2.04
2010-03-15,2010-03-15,3.43,3.32,3.47,3.3,16154,10734405.0,4.96,-3.21,-0.11,1.89
2010-03-16,2010-03-16,3.31,3.34,3.36,3.3,12931,8590533.0,1.81,0.6,0.02,1.51
2010-03-17,2010-03-17,3.35,3.45,3.47,3.35,14072,9666980.0,3.59,3.29,0.11,1.65
2010-03-18,2010-03-18,3.46,3.46,3.49,3.43,11409,7905364.5,1.74,0.29,0.01,1.34
2010-03-19,2010-03-19,3.46,3.5,3.52,3.41,16022,11095780.0,3.18,1.16,0.04,1.88
2010-03-22,2010-03-22,3.5,3.68,3.68,3.48,61418,44812256.0,5.71,5.14,0.18,7.19
2010-03-23,2010-03-23,3.64,3.58,3.68,3.56,37856,27397562.0,3.26,-2.72,-0.1,4.43
2010-03-24,2010-03-24,3.57,3.64,3.7,3.55,24755,18007986.0,4.19,1.68,0.06,2.9
2010-03-25,2010-03-25,3.65,3.57,3.67,3.55,25987,18842994.0,3.3,-1.92,-0.07,3.04
2010-03-26,2010-03-26,3.57,3.61,3.63,3.57,14158,10195842.0,1.68,1.12,0.04,1.66
2010-03-29,2010-03-29,3.61,3.62,3.67,3.58,15391,11106120.0,2.49,0.28,0.01,1.8
2010-03-30,2010-03-30,3.59,3.67,3.7,3.59,18151,13265636.0,3.04,1.38,0.05,2.13
2010-03-31,2010-03-31,3.68,3.71,3.74,3.63,23417,17287336.0,3.0,1.09,0.04,2.74
2010-04-01,2010-04-01,3.7,3.73,3.75,3.68,30141,22389024.0,1.89,0.54,0.02,3.53
2010-04-02,2010-04-02,3.7,3.91,3.91,3.7,89374,69703352.0,5.63,4.83,0.18,10.47
2010-04-06,2010-04-06,3.91,4.01,4.01,3.87,46788,36684264.0,3.58,2.56,0.1,5.48
2010-04-07,2010-04-07,4.0,4.09,4.12,3.94,43167,34887676.0,4.49,2.0,0.08,5.06
2010-04-08,2010-04-08,4.09,4.19,4.3,4.02,41465,34777048.0,6.85,2.44,0.1,4.86
2010-04-09,2010-04-09,4.13,4.17,4.25,4.13,34343,28634954.0,2.86,-0.48,-0.02,4.02
2010-04-12,2010-04-12,4.15,4.08,4.19,4.01,44738,36602148.0,4.32,-2.16,-0.09,5.24
2010-04-13,2010-04-13,4.06,3.94,4.12,3.88,49714,39337860.0,5.88,-3.43,-0.14,5.82
2010-04-14,2010-04-14,3.91,4.11,4.13,3.9,33900,27315570.0,5.84,4.31,0.17,3.97
2010-04-15,2010-04-15,4.1,3.99,4.15,3.98,21375,17340344.0,4.14,-2.92,-0.12,2.5
2010-04-16,2010-04-16,3.98,3.93,4.03,3.88,14701,11678160.0,3.76,-1.5,-0.06,1.72
2010-04-19,2010-04-19,3.9,3.73,3.95,3.73,38462,29186400.0,5.6,-5.09,-0.2,4.5
2010-04-20,2010-04-20,3.75,3.72,3.78,3.55,22080,16135480.0,6.17,-0.27,-0.01,2.59
2010-04-21,2010-04-21,3.7,3.8,3.86,3.69,17018,12865112.0,4.57,2.15,0.08,1.99
2010-04-22,2010-04-22,3.81,3.88,3.89,3.81,19414,14950956.0,2.11,2.11,0.08,2.27
2010-04-23,2010-04-23,3.84,3.68,3.87,3.68,32093,23938516.0,4.9,-5.15,-0.2,3.76
2010-04-26,2010-04-26,3.54,3.58,3.6,3.5,45687,32313764.0,2.72,-2.72,-0.1,5.35
2010-04-28,2010-04-28,3.4,3.45,3.53,3.4,30341,20917968.0,3.63,-3.63,-0.13,3.55
2010-04-29,2010-04-29,3.44,3.35,3.55,3.35,20079,13935318.0,5.8,-2.9,-0.1,2.35
2010-04-30,2010-04-30,3.36,3.19,3.4,3.19,26304,16920144.0,6.27,-4.78,-0.16,3.08
2010-05-04,2010-05-04,3.11,3.18,3.2,3.05,15339,9622101.0,4.7,-0.31,-0.01,1.8
2010-05-05,2010-05-05,3.14,3.27,3.29,3.12,12572,8138655.0,5.35,2.83,0.09,1.47
2010-05-06,2010-05-06,3.27,3.22,3.4,3.2,23456,15563372.0,6.12,-1.53,-0.05,2.75
2010-05-07,2010-05-07,3.17,3.38,3.38,3.14,32865,21954236.0,7.45,4.97,0.16,3.85
2010-05-10,2010-05-10,3.38,3.29,3.39,3.21,19969,13126892.0,5.33,-2.66,-0.09,2.34
2010-05-11,2010-05-11,3.3,3.19,3.38,3.14,15683,10324757.0,7.29,-3.04,-0.1,1.84
2010-05-12,2010-05-12,3.14,3.09,3.24,3.03,12387,7721028.5,6.58,-3.13,-0.1,1.45
2010-05-13,2010-05-13,3.08,3.17,3.19,3.04,7355,4597735.5,4.85,2.59,0.08,0.86
2010-05-14,2010-05-14,3.17,3.21,3.26,3.12,10151,6538587.0,4.42,1.26,0.04,1.19
2010-05-17,2010-05-17,3.15,3.05,3.22,3.05,21149,13035564.0,5.3,-4.98,-0.16,2.48
2010-05-18,2010-05-18,2.98,2.99,3.02,2.9,20850,12213697.0,3.93,-1.97,-0.06,2.44
2010-05-19,2010-05-19,2.94,2.95,3.03,2.91,13437,7994578.5,4.01,-1.34,-0.04,1.57
2010-05-20,2010-05-20,2.95,2.81,2.97,2.81,15434,8792962.0,5.42,-4.75,-0.14,1.81
2010-05-21,2010-05-21,2.69,2.77,2.8,2.67,14552,7923479.5,4.63,-1.42,-0.04,1.7
2010-05-24,2010-05-24,2.78,2.9,2.91,2.75,14926,8552006.0,5.78,4.69,0.13,1.75
2010-05-25,2010-05-25,2.87,2.85,2.93,2.81,11626,6643635.0,4.14,-1.72,-0.05,1.36
2010-05-26,2010-05-26,2.85,3.0,3.0,2.85,21276,12681633.0,5.26,5.26,0.15,2.49
2010-05-27,2010-05-27,3.03,3.04,3.09,2.95,26112,15783939.0,4.67,1.33,0.04,3.06
2010-05-31,2010-05-31,2.99,2.92,3.08,2.92,9990,5981716.0,5.26,-3.95,-0.12,1.17
2010-06-01,2010-06-01,2.93,2.83,2.99,2.77,11466,6550340.0,7.53,-3.08,-0.09,1.34
2010-06-02,2010-06-02,2.79,2.9,2.91,2.76,11239,6417413.0,5.3,2.47,0.07,1.32
2010-06-03,2010-06-03,2.92,2.91,3.02,2.91,19002,11253347.0,3.79,0.34,0.01,2.23
2010-06-04,2010-06-04,2.88,2.95,3.0,2.88,8921,5268052.0,4.12,1.37,0.04,1.04
2010-06-07,2010-06-07,2.9,2.91,2.95,2.85,6475,3747632.5,3.39,-1.36,-0.04,0.76
2010-06-08,2010-06-08,2.92,2.95,2.97,2.89,10639,6250035.5,2.75,1.37,0.04,1.25
2010-06-09,2010-06-09,2.95,3.01,3.02,2.94,17304,10344532.0,2.71,2.03,0.06,2.03
2010-06-10,2010-06-10,3.0,3.08,3.13,2.98,26321,16201176.0,4.98,2.33,0.07,3.08
2010-06-11,2010-06-11,3.08,3.12,3.14,3.08,22752,14173691.0,1.95,1.3,0.04,2.66
2010-06-17,2010-06-17,3.13,3.09,3.2,3.09,15378,9728456.0,3.53,-0.96,-0.03,1.8
2010-06-18,2010-06-18,3.07,2.93,3.09,2.93,19369,11550733.0,5.18,-5.18,-0.16,2.27
2010-06-21,2010-06-21,2.91,2.99,3.0,2.88,8306,4900295.0,4.1,2.05,0.06,0.97
2010-06-22,2010-06-22,3.0,3.01,3.03,2.96,6322,3802367.25,2.34,0.67,0.02,0.74
2010-06-23,2010-06-23,3.0,2.99,3.04,2.95,7859,4685489.0,2.99,-0.66,-0.02,0.92
2010-06-24,2010-06-24,2.99,3.05,3.05,2.97,8838,5322762.5,2.68,2.01,0.06,1.04
2010-06-25,2010-06-25,3.02,2.96,3.06,2.93,10500,6281222.0,4.26,-2.95,-0.09,1.23
2010-06-28,2010-06-28,2.96,2.93,3.0,2.9,7672,4527958.0,3.38,-1.01,-0.03,0.9
2010-06-29,2010-06-29,2.96,2.79,2.97,2.79,11101,6300024.5,6.14,-4.78,-0.14,1.3
2010-06-30,2010-06-30,2.74,2.65,2.75,2.65,13029,6960506.0,3.58,-5.02,-0.14,1.53
2010-07-01,2010-07-01,2.65,2.64,2.69,2.61,6334,3367013.5,3.02,-0.38,-0.01,0.74
2010-07-02,2010-07-02,2.62,2.59,2.67,2.55,9456,4880380.0,4.55,-1.89,-0.05,1.11
2010-07-05,2010-07-05,2.6,2.59,2.6,2.55,6983,3609499.25,1.93,0.0,0.0,0.82
2010-07-06,2010-07-06,2.59,2.67,2.67,2.59,5591,2949631.75,3.09,3.09,0.08,0.65
2010-07-07,2010-07-07,2.67,2.68,2.69,2.64,4207,2242782.0,1.87,0.37,0.01,0.49
2010-07-08,2010-07-08,2.71,2.67,2.71,2.63,6224,3323031.5,2.99,-0.37,-0.01,0.73
2010-07-09,2010-07-09,2.66,2.76,2.78,2.66,7713,4193282.75,4.49,3.37,0.09,0.9
2010-07-12,2010-07-12,2.76,2.78,2.82,2.73,8440,4714833.5,3.26,0.72,0.02,0.99
2010-07-13,2010-07-13,2.76,2.68,2.76,2.64,11705,6239995.5,4.32,-3.6,-0.1,1.37
2010-07-14,2010-07-14,2.81,2.74,2.81,2.72,8692,4792671.5,3.36,2.24,0.06,1.02
2010-07-15,2010-07-15,2.72,2.65,2.74,2.62,7968,4285793.5,4.38,-3.28,-0.09,0.93
2010-07-16,2010-07-16,2.63,2.62,2.64,2.56,10819,5583796.0,3.02,-1.13,-0.03,1.27
2010-07-19,2010-07-19,2.58,2.69,2.71,2.56,8548,4511659.0,5.73,2.67,0.07,1.0
2010-07-20,2010-07-20,2.69,2.74,2.77,2.67,9713,5298764.0,3.72,1.86,0.05,1.14
2010-07-21,2010-07-21,2.74,2.74,2.77,2.72,10493,5758861.0,1.82,0.0,0.0,1.23
2010-07-22,2010-07-22,2.75,2.78,2.8,2.73,11730,6488639.5,2.55,1.46,0.04,1.37
2010-07-23,2010-07-23,2.78,2.78,2.8,2.73,10745,5919838.5,2.52,0.0,0.0,1.26
2010-07-26,2010-07-26,2.79,2.82,2.83,2.77,11872,6637892.5,2.16,1.44,0.04,1.39
2010-07-27,2010-07-27,2.81,2.79,2.81,2.77,9942,5541896.5,1.42,-1.06,-0.03,1.16
2010-07-28,2010-07-28,2.79,2.85,2.85,2.77,16760,9456463.0,2.87,2.15,0.06,1.96
2010-07-29,2010-07-29,2.84,2.89,2.92,2.83,19433,11159595.0,3.16,1.4,0.04,2.28
2010-07-30,2010-07-30,2.95,2.89,2.95,2.85,13622,7874881.0,3.46,0.0,0.0,1.6
2010-08-02,2010-08-02,2.89,2.95,2.95,2.88,13711,7983583.0,2.42,2.08,0.06,1.61
2010-08-03,2010-08-03,2.95,2.95,3.01,2.9,19825,11683233.0,3.73,0.0,0.0,2.32
2010-08-04,2010-08-04,2.93,2.95,2.98,2.87,14891,8690238.0,3.73,0.0,0.0,1.74
2010-08-05,2010-08-05,2.95,2.98,3.02,2.94,15395,9182290.0,2.71,1.02,0.03,1.8
2010-08-06,2010-08-06,3.0,3.02,3.02,2.96,15142,9052631.0,2.01,1.34,0.04,1.77
2010-08-09,2010-08-09,3.01,3.03,3.06,3.0,16709,10120204.0,1.99,0.33,0.01,1.96
2010-08-10,2010-08-10,3.03,2.91,3.09,2.91,23551,14149527.0,5.94,-3.96,-0.12,2.76
