日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,2010-01-08,3.17,3.24,3.27,3.08,1085304,1117118336.0,5.99,2.21,0.07,1.12
2010-01-11,2010-01-11,3.41,3.07,3.49,2.97,1713006,1758363776.0,16.05,-5.25,-0.17,1.77
2010-01-12,2010-01-12,3.02,3.18,3.26,2.87,1520725,1548907904.0,12.7,3.58,0.11,1.57
2010-01-13,2010-01-13,2.83,2.93,2.97,2.78,1892792,1892537856.0,5.97,-7.86,-0.25,1.96
2010-01-14,2010-01-14,2.93,2.92,2.97,2.8,1192514,1192832640.0,5.8,-0.34,-0.01,1.23
2010-01-15,2010-01-15,2.95,3.03,3.12,2.93,1179248,1196520960.0,6.51,3.77,0.11,1.22
2010-01-18,2010-01-18,3.03,2.98,3.08,2.88,1251745,1259938048.0,6.6,-1.65,-0.05,1.3
2010-01-19,2010-01-19,2.99,2.95,3.05,2.92,1064044,1073060096.0,4.36,-1.01,-0.03,1.1
2010-01-20,2010-01-20,2.97,2.65,2.99,2.62,1737477,1719444736.0,12.54,-10.17,-0.3,1.8
2010-01-21,2010-01-21,2.65,2.69,2.76,2.52,1048285,1018079488.0,9.06,1.51,0.04,1.09
2010-01-22,2010-01-22,2.57,2.44,2.62,2.39,1125393,1079530112.0,8.55,-9.29,-0.25,1.17
2010-01-25,2010-01-25,2.41,2.41,2.54,2.34,601708,574865408.0,8.2,-1.23,-0.03,0.62
2010-01-26,2010-01-26,2.41,2.11,2.48,2.07,1055039,982443520.0,17.01,-12.45,-0.3,1.09
2010-01-27,2010-01-27,2.14,2.18,2.35,2.08,955004,888059776.0,12.8,3.32,0.07,0.99
2010-01-28,2010-01-28,2.16,2.3,2.37,2.08,840948,785287616.0,13.3,5.5,0.12,0.87
2010-01-29,2010-01-29,2.24,2.23,2.42,2.19,791507,745025152.0,10.0,-3.04,-0.07,0.82
2010-02-01,2010-02-01,2.19,2.3,2.42,1.98,978058,906407616.0,19.73,3.14,0.07,1.01
2010-02-02,2010-02-02,2.32,2.17,2.44,2.17,753918,709718272.0,11.74,-5.65,-0.13,0.78
2010-02-03,2010-02-03,2.15,2.34,2.37,2.02,818778,764874240.0,16.13,7.83,0.17,0.85
2010-02-04,2010-02-04,2.29,2.3,2.42,2.19,829513,781993664.0,9.83,-1.71,-0.04,0.86
2010-02-05,2010-02-05,2.15,2.09,2.21,2.04,688000,634905088.0,7.39,-9.13,-0.21,0.71
2010-02-08,2010-02-08,2.08,2.01,2.11,1.97,539592,492708832.0,6.7,-3.83,-0.08,0.56
2010-02-09,2010-02-09,2.01,1.98,2.05,1.92,449034,408068192.0,6.47,-1.49,-0.03,0.47
2010-02-10,2010-02-10,2.03,2.1,2.13,1.99,450542,412512576.0,7.07,6.06,0.12,0.47
2010-02-11,2010-02-11,2.12,2.17,2.24,2.07,529122,491716608.0,8.1,3.33,0.07,0.55
2010-02-12,2010-02-12,2.26,2.26,2.26,2.2,420578,393158624.0,2.76,4.15,0.09,0.44
2010-02-22,2010-02-22,2.18,2.15,2.24,2.14,347717,323271104.0,4.42,-4.87,-0.11,0.36
2010-02-23,2010-02-23,2.16,2.02,2.16,1.98,432175,394880000.0,8.37,-6.05,-0.13,0.45
2010-02-24,2010-02-24,1.98,2.12,2.13,1.94,479768,439426624.0,9.41,4.95,0.1,0.5
2010-02-25,2010-02-25,2.17,2.37,2.39,2.17,1032744,973324480.0,10.38,11.79,0.25,1.07
2010-02-26,2010-02-26,2.38,2.32,2.41,2.29,678204,642430592.0,5.06,-2.11,-0.05,0.7
