日期,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-08,2010-01-08,23.84,23.31,23.84,22.86,11382,30499852.0,4.11,-2.22,-0.53,0.49
2010-01-11,2010-01-11,23.16,22.74,23.31,22.46,16689,44219396.0,3.65,-2.45,-0.57,0.72
2010-01-12,2010-01-12,22.74,23.21,23.3,22.66,11861,31576430.0,2.81,2.07,0.47,0.51
2010-01-13,2010-01-13,22.95,23.24,23.71,22.72,17246,46479984.0,4.27,0.13,0.03,0.74
2010-01-14,2010-01-14,23.29,24.8,25.38,23.29,31822,89684360.0,8.99,6.71,1.56,1.36
2010-01-15,2010-01-15,24.9,24.44,25.13,24.37,14503,40840088.0,3.06,-1.45,-0.36,0.62
2010-01-18,2010-01-18,24.35,24.86,24.89,24.07,16025,45179452.0,3.36,1.72,0.42,0.69
2010-01-19,2010-01-19,24.84,24.13,24.84,23.89,21172,58957040.0,3.82,-2.94,-0.73,0.91
2010-01-20,2010-01-20,23.96,24.38,25.31,23.81,20917,58967580.0,6.22,1.04,0.25,0.9
2010-01-21,2010-01-21,24.44,24.34,24.65,23.81,11310,31399328.0,3.45,-0.16,-0.04,0.48
2010-01-22,2010-01-22,24.16,23.34,24.36,23.19,12856,34892408.0,4.81,-4.11,-1.0,0.55
2010-01-25,2010-01-25,23.16,23.35,23.86,22.94,4993,13515389.0,3.94,0.04,0.01,0.21
2010-01-26,2010-01-26,23.34,22.86,23.86,22.66,21246,57134644.0,5.14,-2.1,-0.49,0.91
2010-01-27,2010-01-27,23.25,23.59,23.85,22.81,18937,51224540.0,4.55,3.19,0.73,0.81
2010-01-28,2010-01-28,23.56,24.76,25.01,23.56,14102,39708152.0,6.15,4.96,1.17,0.6
2010-01-29,2010-01-29,24.67,26.15,26.51,24.05,28227,83030040.0,9.94,5.61,1.39,1.21
2010-02-01,2010-02-01,26.15,26.59,26.85,25.31,17795,53305332.0,5.89,1.68,0.44,0.76
2010-02-02,2010-02-02,26.61,25.86,26.8,25.36,12197,35932072.0,5.42,-2.75,-0.73,0.52
2010-02-03,2010-02-03,25.71,26.21,26.46,24.66,13278,38894092.0,6.96,1.35,0.35,0.57
2010-02-04,2010-02-04,25.92,25.55,26.05,25.52,6964,20404028.0,2.02,-2.52,-0.66,0.3
2010-02-05,2010-02-05,25.52,25.06,25.52,24.67,5265,15092186.0,3.33,-1.92,-0.49,0.23
2010-02-08,2010-02-08,24.86,24.31,25.26,24.16,7134,20206034.0,4.39,-2.99,-0.75,0.31
2010-02-09,2010-02-09,24.34,24.22,24.71,24.11,6122,17104502.0,2.47,-0.37,-0.09,0.26
2010-02-11,2010-02-11,24.66,24.31,24.66,24.16,6115,17095302.0,2.06,0.37,0.09,0.26
2010-02-12,2010-02-12,24.36,24.64,24.97,24.36,11380,32135880.0,2.51,1.36,0.33,0.49
2010-02-22,2010-02-22,24.64,25.62,25.63,24.64,12865,37202712.0,4.02,3.98,0.98,0.55
2010-02-23,2010-02-23,25.58,25.66,26.36,25.36,10742,31662146.0,3.9,0.16,0.04,0.46
2010-02-24,2010-02-24,25.56,27.17,27.36,25.06,15228,46119068.0,8.96,5.88,1.51,0.65
2010-02-25,2010-02-25,27.22,27.29,27.5,26.27,21597,66476384.0,4.53,0.44,0.12,0.93
2010-02-26,2010-02-26,27.26,27.36,28.24,26.86,11185,34658024.0,5.06,0.26,0.07,0.48
2010-03-01,2010-03-01,27.25,27.51,27.84,27.06,6768,21130738.0,2.85,0.55,0.15,0.29
2010-03-02,2010-03-02,28.01,27.16,28.01,27.06,7850,24414994.0,3.45,-1.27,-0.35,0.34
2010-03-03,2010-03-03,26.56,27.16,27.36,26.56,3265,10035282.0,2.95,0.0,0.0,0.14
2010-03-04,2010-03-04,27.17,26.24,27.26,26.06,4929,14966897.0,4.42,-3.39,-0.92,0.21
2010-03-05,2010-03-05,26.16,26.34,26.8,25.76,7649,22835316.0,3.96,0.38,0.1,0.33
2010-03-08,2010-03-08,26.54,26.06,26.65,25.96,16882,50595380.0,2.62,-1.06,-0.28,0.72
2010-03-09,2010-03-09,26.11,26.36,27.13,26.11,14857,44975584.0,3.91,1.15,0.3,0.64
2010-03-10,2010-03-10,26.46,26.11,26.61,25.77,8195,24508776.0,3.19,-0.95,-0.25,0.35
2010-03-11,2010-03-11,26.16,25.85,26.66,25.54,6436,19081942.0,4.29,-1.0,-0.26,0.28
2010-03-12,2010-03-12,25.85,25.68,26.06,25.64,4125,12116198.0,1.62,-0.66,-0.17,0.18
2010-03-15,2010-03-15,25.67,25.36,25.98,23.36,6595,19192440.0,10.2,-1.25,-0.32,0.28
2010-03-16,2010-03-16,25.26,24.86,25.34,24.5,10068,28681948.0,3.31,-1.97,-0.5,0.43
2010-03-17,2010-03-17,24.91,25.36,25.56,24.87,9495,27468444.0,2.78,2.01,0.5,0.41
2010-03-18,2010-03-18,25.41,25.32,25.75,25.31,5637,16396043.0,1.74,-0.16,-0.04,0.24
2010-03-19,2010-03-19,25.61,24.94,25.61,24.54,8198,23377442.0,4.23,-1.5,-0.38,0.35
2010-03-22,2010-03-22,24.94,25.31,25.35,24.78,4508,12992381.0,2.29,1.48,0.37,0.19
2010-03-23,2010-03-23,25.31,25.53,25.61,24.97,8645,25056588.0,2.53,0.87,0.22,0.37
2010-03-24,2010-03-24,25.74,25.08,25.74,25.0,14546,41956616.0,2.9,-1.76,-0.45,0.62
2010-03-25,2010-03-25,25.03,23.96,25.08,23.91,15580,43667620.0,4.67,-4.47,-1.12,0.67
2010-03-26,2010-03-26,24.0,24.15,24.37,23.94,11086,30792366.0,1.79,0.79,0.19,0.48
2010-03-29,2010-03-29,24.16,24.61,24.76,24.16,9446,26591078.0,2.48,1.9,0.46,0.4
2010-03-30,2010-03-30,24.61,24.66,24.83,24.56,6661,18837212.0,1.1,0.2,0.05,0.29
2010-03-31,2010-03-31,24.66,24.24,24.66,24.17,10686,29885728.0,1.99,-1.7,-0.42,0.46
2010-04-01,2010-04-01,24.24,24.39,24.5,24.03,12275,34213460.0,1.94,0.62,0.15,0.53
