日期,累积收益率
2010-04-27,"['002294' '000703' '000049' '002035' '600563' '600433' '600406' '000848'
 '000559' '300015']"
2010-04-29,"['000049' '000703' '002294' '002035' '600406' '000848' '600563' '000811'
 '600552' '600433']"
2010-04-30,"['000049' '000703' '002294' '600066' '600406' '002035' '600563' '000848'
 '000811' '600552']"
2010-05-04,"['600066' '000049' '002294' '000703' '600406' '000848' '002020' '600563'
 '002035' '000811']"
2010-05-05,"['600066' '000049' '002294' '000703' '600563' '002035' '000848' '600406'
 '000811' '002020']"
2010-05-06,"['600066' '000049' '000703' '002294' '002035' '600406' '000811' '600563'
 '000848' '000559']"
2010-05-07,"['600066' '000049' '002294' '002035' '000703' '000811' '600406' '000848'
 '600563' '002020']"
2010-05-10,"['600066' '000049' '002035' '002294' '000703' '000811' '000848' '600406'
 '600433' '002020']"
2010-05-11,"['600066' '000049' '002294' '002035' '000703' '000811' '600406' '000848'
 '600433' '600563']"
2010-05-12,"['600066' '000049' '002294' '002035' '000703' '000848' '600406' '600563'
 '000811' '600433']"
2010-05-13,"['600066' '000049' '002294' '000848' '600406' '000703' '002035' '600563'
 '600433' '000559']"
2010-05-14,"['600066' '000049' '002294' '000848' '000703' '600406' '002035' '000811'
 '600563' '600433']"
2010-05-17,"['600066' '000049' '002294' '000703' '000848' '600406' '000963' '600433'
 '000811' '600055']"
2010-05-18,"['600066' '000049' '002294' '000848' '000811' '600433' '600563' '000559'
 '000963' '002304']"
2010-05-19,"['600066' '000049' '002294' '000703' '600406' '000848' '000811' '002304'
 '600433' '000559']"
2010-05-20,"['600066' '000049' '002294' '600406' '000703' '000848' '000811' '002304'
 '600433' '600563']"
2010-05-21,"['600066' '000049' '002294' '600406' '002035' '000703' '002304' '000848'
 '000811' '600563']"
2010-05-24,"['600066' '000049' '002294' '600406' '002035' '000703' '000848' '002304'
 '000811' '600563']"
2010-05-25,"['600066' '002294' '600406' '002035' '000703' '000848' '000811' '002223'
 '000559' '600563']"
2010-05-26,"['600066' '000049' '600406' '002294' '002035' '000703' '000848' '000811'
 '002310' '000559']"
2010-05-27,"['600066' '000049' '600406' '002294' '002035' '000848' '000703' '000811'
 '000559' '002223']"
2010-05-28,"['600066' '000049' '600406' '002294' '002035' '000848' '000703' '002223'
 '000811' '002304']"
2010-05-31,"['600066' '000049' '600406' '002294' '000848' '002223' '000559' '000703'
 '002035' '002304']"
2010-06-01,"['600066' '000049' '600406' '002294' '000559' '000848' '002304' '002223'
 '000703' '000811']"
2010-06-02,"['600066' '000049' '600406' '002294' '000848' '002304' '000559' '002223'
 '000811' '300015']"
