日期,累积收益率
2012-03-16,"['000703' '002304' '002081' '002236' '600160' '000596' '600406' '000789'
 '600111' '002006']"
2012-03-19,"['000703' '002304' '002236' '002081' '600160' '600259' '000789' '600111'
 '000596' '600406']"
2012-03-20,"['000703' '002304' '002236' '600160' '002081' '600259' '600111' '000596'
 '600406' '000789']"
2012-03-21,"['000703' '002304' '600160' '002236' '002081' '600259' '600111' '000596'
 '600406' '002006']"
2012-03-22,"['000703' '002304' '600160' '002236' '002081' '000596' '600259' '000789'
 '600111' '600406']"
2012-03-23,"['000703' '002304' '002236' '600160' '002081' '600259' '000596' '600111'
 '600406' '000789']"
2012-03-26,"['000703' '002304' '002236' '600160' '002081' '000596' '600259' '600406'
 '600111' '000789']"
2012-03-27,"['000703' '002304' '002236' '002081' '600160' '600259' '600111' '600406'
 '000596' '000789']"
2012-03-28,"['000703' '002304' '002236' '002081' '600160' '600111' '600259' '600406'
 '000596' '000049']"
2012-03-29,"['000703' '002304' '002236' '002081' '600160' '600111' '600406' '600259'
 '000596' '600645']"
2012-03-30,"['000703' '002304' '002236' '002081' '600160' '600406' '600111' '000049'
 '600259' '600645']"
2012-04-05,"['000703' '002304' '002236' '002081' '600111' '600160' '600259' '600406'
 '000596' '000049']"
2012-04-06,"['002304' '000703' '002236' '002081' '600111' '600160' '600259' '000596'
 '600406' '000049']"
2012-04-09,"['002304' '000703' '002236' '002081' '600111' '600160' '600259' '600406'
 '000596' '000049']"
2012-04-10,"['002304' '002081' '600111' '600160' '600259' '600406' '000596' '000789'
 '000049' '600645']"
2012-04-11,"['000703' '002304' '002236' '002081' '600160' '600111' '600259' '600406'
 '000789' '000596']"
2012-04-12,"['000703' '002304' '002236' '002081' '600160' '600111' '000789' '600259'
 '600406' '000596']"
2012-04-13,"['000703' '002304' '002236' '002081' '600160' '600111' '000789' '600259'
 '600406' '000596']"
2012-04-16,"['000703' '002304' '002236' '002081' '600160' '600111' '000789' '000049'
 '600259' '000596']"
2012-04-17,"['000703' '002304' '002236' '002081' '600160' '600111' '600259' '000049'
 '000596' '000789']"
2012-04-18,"['000703' '002304' '002236' '002081' '600259' '000049' '000789' '600406'
 '000596' '000970']"
2012-04-19,"['000703' '002304' '002236' '002081' '600111' '600160' '600259' '000049'
 '600406' '000970']"
2012-04-20,"['000703' '002304' '002236' '002081' '600111' '000789' '600160' '600259'
 '600406' '000049']"
2012-04-23,"['000703' '002304' '002236' '002081' '000789' '600111' '600160' '600259'
 '600406' '000049']"
2012-04-24,"['002304' '000703' '002236' '002081' '000789' '600111' '600160' '600259'
 '000049' '600406']"
2012-04-25,"['002304' '000703' '002236' '002081' '000789' '600111' '600160' '600259'
 '600406' '000049']"
2012-04-26,"['002304' '002236' '002081' '000789' '600111' '600160' '600259' '600406'
 '000596' '000049']"
2012-04-27,"['002304' '000703' '002236' '002081' '000789' '600111' '000596' '600160'
 '600406' '600259']"
2012-05-02,"['002304' '000703' '002236' '002081' '600111' '000789' '600160' '000970'
 '000596' '600259']"
2012-05-03,"['002304' '000703' '002236' '002081' '600111' '000789' '000596' '000970'
 '600160' '000049']"
2012-05-04,"['002304' '000703' '002236' '600111' '002081' '000596' '000789' '000970'
 '600160' '600406']"
2012-05-07,"['002304' '000703' '002236' '600111' '002081' '000970' '000596' '000049'
 '000789' '600406']"
2012-05-08,"['002304' '000703' '002236' '600111' '000970' '000049' '000596' '000789'
 '600259' '600160']"
2012-05-09,"['002304' '000703' '002236' '600111' '002081' '000970' '000049' '600259'
 '000596' '000789']"
2012-05-10,"['002304' '000703' '002236' '600111' '002081' '000970' '000049' '600259'
 '000596' '600160']"
2012-05-11,"['002304' '000703' '002236' '600111' '002081' '000970' '000049' '600259'
 '000596' '600160']"
2012-05-14,"['002304' '000703' '002236' '002081' '600111' '000970' '000049' '600259'
 '000596' '600406']"
2012-05-15,"['002304' '000703' '002236' '600111' '002081' '000970' '000049' '000596'
 '600259' '000789']"
2012-05-16,"['002304' '000703' '002236' '600111' '002081' '000970' '000596' '600259'
 '600160' '600406']"
2012-05-17,"['000703' '002236' '600111' '002081' '000049' '000970' '600259' '000596'
 '600160' '000789']"
2012-05-18,"['002304' '000703' '002236' '600111' '002081' '000049' '000970' '600259'
 '000596' '600160']"
2012-05-21,"['002304' '000703' '002236' '000970' '600111' '002081' '000049' '600259'
 '000596' '000789']"
2012-05-22,"['002304' '000703' '002236' '600111' '000970' '002081' '000049' '000789'
 '600259' '000596']"
2012-05-23,"['002304' '000703' '002236' '002081' '000970' '600111' '000789' '000049'
 '600259' '000596']"
2012-05-24,"['002304' '002236' '000703' '002081' '000970' '600111' '000049' '000789'
 '600259' '000596']"
2012-05-25,"['002304' '002236' '000703' '002081' '600111' '000970' '000049' '000789'
 '000596' '600160']"
2012-05-28,"['002304' '002081' '002236' '000789' '000703' '600111' '000970' '000049'
 '600259' '000596']"
2012-05-29,"['002304' '002081' '000789' '000703' '002236' '000970' '600111' '000049'
 '600259' '000596']"
2012-05-30,"['002304' '002081' '002236' '000789' '000703' '000970' '600111' '000049'
 '600259' '000596']"
2012-05-31,"['002304' '002081' '002236' '000789' '000703' '000049' '000970' '600111'
 '600259' '000596']"
2012-06-01,"['002304' '002081' '000703' '002236' '000049' '000789' '600111' '000970'
 '600259' '000596']"
2012-06-04,"['002304' '002236' '002081' '000703' '000049' '600111' '000789' '000970'
 '600259' '000596']"
2012-06-05,"['002304' '002236' '002081' '000703' '000049' '600111' '000970' '000789'
 '600259' '000596']"
2012-06-06,"['002304' '002236' '002081' '000703' '600111' '000049' '000789' '000970'
 '600259' '002241']"
2012-06-07,"['002304' '002236' '002081' '000703' '000049' '600111' '000789' '000970'
 '600259' '002241']"
2012-06-08,"['002304' '002236' '002081' '000703' '000049' '600111' '000970' '000789'
 '600259' '002241']"
2012-06-11,"['002304' '002081' '002236' '000703' '000049' '600111' '000970' '000789'
 '600259' '002241']"
2012-06-12,"['002304' '002081' '002236' '000049' '000703' '600111' '000970' '000789'
 '600259' '002241']"
2012-06-14,"['002304' '002081' '002236' '000703' '600111' '000970' '000049' '000789'
 '600259' '002241']"
2012-06-15,"['002304' '002236' '002081' '000703' '600111' '000970' '000049' '000789'
 '600259' '002241']"
2012-06-18,"['002304' '002081' '002236' '000703' '600111' '000970' '000789' '000049'
 '600259' '002241']"
2012-06-19,"['002304' '002081' '002236' '000703' '000049' '600111' '000970' '000789'
 '600259' '002241']"
2012-06-20,"['002304' '002081' '002236' '000703' '600111' '000049' '600259' '002241'
 '000596' '600519']"
2012-06-21,"['002304' '002236' '002081' '000703' '600111' '000970' '000049' '000789'
 '600259' '002241']"
2012-06-25,"['002304' '002081' '002236' '600111' '000049' '000970' '000789' '002241'
 '600259' '000596']"
2012-06-26,"['002304' '002081' '002236' '000703' '600111' '000970' '000049' '000789'
 '002241' '600259']"
2012-06-27,"['002304' '002081' '002236' '000703' '000049' '000970' '600111' '002241'
 '000789' '600259']"
2012-06-28,"['002304' '002081' '002236' '000703' '000049' '000970' '600111' '000789'
 '002241' '600259']"
2012-06-29,"['002304' '002081' '000049' '000703' '000970' '000789' '600111' '002241'
 '600259' '000596']"
2012-07-02,"['002304' '002236' '002081' '000049' '000703' '000970' '600111' '002241'
 '000789' '600259']"
2012-07-03,"['002304' '002236' '002081' '000049' '000703' '000970' '600111' '002241'
 '000789' '600519']"
2012-07-04,"['002304' '002236' '002081' '000703' '000049' '000970' '600111' '002241'
 '000789' '600519']"
2012-07-05,"['002304' '002236' '002081' '000703' '000970' '000049' '600111' '002241'
 '600519' '600259']"
2012-07-06,"['002304' '002236' '002081' '000970' '000703' '000049' '600111' '002241'
 '600519' '000789']"
2012-07-09,"['002304' '002236' '002081' '000970' '000049' '000703' '600111' '002241'
 '600519' '600259']"
2012-07-10,"['002304' '002236' '002081' '000970' '000049' '000703' '600111' '002241'
 '600259' '000596']"
2012-07-11,"['002304' '002236' '002081' '000970' '000049' '000703' '600111' '002241'
 '000789' '600519']"
2012-07-12,"['002304' '002236' '002081' '000049' '000970' '000703' '600111' '002241'
 '600259' '600519']"
2012-07-13,"['002304' '002236' '002081' '000049' '000970' '600111' '002241' '000703'
 '600519' '000789']"
2012-07-16,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '600519'
 '000703' '600259']"
2012-07-17,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '000703'
 '600519' '600259']"
2012-07-18,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '600259'
 '000703' '000789']"
2012-07-19,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '000789'
 '600259' '000703']"
2012-07-20,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '000789'
 '000703' '600259']"
2012-07-23,"['002304' '002236' '002081' '000049' '000970' '600111' '000703' '002241'
 '600259' '000789']"
2012-07-24,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '000703'
 '600259' '000789']"
2012-07-25,"['002304' '002236' '002081' '000970' '000049' '600111' '002241' '600519'
 '000703' '600259']"
2012-07-26,"['002236' '002304' '002081' '000970' '000049' '600111' '002241' '600519'
 '000703' '600259']"
2012-07-27,"['002236' '002304' '002081' '000970' '000049' '600111' '002241' '000703'
 '600519' '000789']"
2012-07-30,"['002236' '002304' '002081' '000049' '000970' '600111' '002241' '000703'
 '600519' '000789']"
2012-07-31,"['002236' '002304' '002081' '000970' '000049' '000703' '002241' '600111'
 '600519' '002051']"
2012-08-01,"['002236' '002304' '002081' '000970' '000049' '600111' '002241' '000703'
 '000789' '002051']"
2012-08-02,"['002236' '002304' '002081' '000970' '000049' '002241' '000703' '600111'
 '000789' '002051']"
2012-08-03,"['002236' '002304' '002081' '000049' '000970' '002241' '600111' '000703'
 '000789' '002051']"
2012-08-06,"['002236' '002304' '002081' '000970' '000049' '600111' '002241' '000789'
 '000703' '002051']"
2012-08-07,"['002236' '002304' '002081' '000970' '600111' '000049' '002241' '000703'
 '000789' '002051']"
2012-08-08,"['002236' '002304' '002081' '000049' '600111' '000970' '002241' '000703'
 '000789' '002051']"
2012-08-09,"['002236' '002304' '002081' '000049' '002241' '600111' '000970' '000703'
 '000789' '600519']"
2012-08-10,"['002236' '002081' '002304' '000049' '002241' '000703' '600111' '000970'
 '000789' '002051']"
2012-08-13,"['002236' '002304' '002081' '002241' '000049' '000970' '600111' '000703'
 '002051' '000789']"
2012-08-14,"['002236' '002304' '002081' '002241' '000049' '000970' '000703' '600111'
 '002051' '000789']"
2012-08-15,"['002236' '002304' '002081' '002241' '000049' '000970' '000703' '600111'
 '002051' '000789']"
2012-08-16,"['002236' '002081' '002304' '002241' '000970' '000049' '600111' '000703'
 '002051' '000789']"
2012-08-17,"['002236' '002081' '002304' '002241' '000970' '000049' '600111' '000703'
 '002051' '000789']"
2012-08-20,"['002236' '002081' '002304' '002241' '000970' '000049' '000703' '600111'
 '002051' '000789']"
2012-08-21,"['002236' '002304' '002081' '000049' '002241' '000970' '000703' '600111'
 '002051' '000789']"
2012-08-22,"['002236' '002304' '002081' '000049' '002241' '000970' '000703' '600111'
 '002051' '000789']"
2012-08-23,"['002236' '002081' '002304' '000049' '002241' '000970' '000703' '600111'
 '002051' '000789']"
2012-08-24,"['002236' '002304' '002081' '000049' '002241' '000970' '600111' '000703'
 '002051' '000789']"
2012-08-27,"['002236' '002304' '002081' '000049' '002241' '002051' '600111' '000970'
 '000703' '000789']"
2012-08-28,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000703'
 '000970' '000789']"
2012-08-29,"['002236' '002081' '002304' '000049' '002241' '002051' '000703' '600111'
 '000970' '000789']"
2012-08-30,"['002236' '002081' '002304' '000049' '002241' '000703' '002051' '000970'
 '600111' '000799']"
2012-08-31,"['002236' '002081' '002304' '000049' '002241' '000703' '002051' '000970'
 '600111' '600519']"
2012-09-03,"['002236' '002081' '002304' '000049' '002241' '002051' '000703' '000970'
 '600111' '000799']"
2012-09-04,"['002236' '002081' '002304' '000049' '002241' '002051' '000970' '000703'
 '600111' '600519']"
2012-09-05,"['002236' '002081' '000049' '002304' '002241' '002051' '000970' '000703'
 '600111' '600519']"
2012-09-06,"['002236' '002081' '002304' '000049' '002241' '002051' '000970' '600111'
 '000703' '600519']"
2012-09-07,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '000703' '600519']"
2012-09-10,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000703'
 '000970' '000789']"
2012-09-11,"['002236' '002081' '002304' '000049' '002241' '002051' '000970' '600111'
 '000703' '600519']"
2012-09-12,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '000703' '000789']"
2012-09-13,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000703'
 '000970' '600519']"
2012-09-14,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000703'
 '000970' '600519']"
2012-09-17,"['002236' '002304' '002081' '000049' '002241' '002051' '600111' '000703'
 '600519' '000970']"
2012-09-18,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '600519' '000703']"
2012-09-19,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '000703' '600519']"
2012-09-20,"['002236' '002081' '000049' '002304' '002241' '002051' '600111' '000970'
 '000703' '600519']"
2012-09-21,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '600519' '000703']"
2012-09-24,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000970'
 '600519' '000703']"
2012-09-25,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '600519'
 '000970' '000789']"
2012-09-26,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '600519'
 '000970' '000799']"
2012-09-27,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '600519'
 '000789' '000970']"
2012-09-28,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '600519'
 '000789' '000970']"
2012-10-08,"['002236' '002081' '002304' '000049' '002241' '002051' '600111' '000789'
 '600519' '000970']"
2012-10-09,"['002236' '002081' '002304' '000049' '002241' '002051' '000789' '600111'
 '600519' '000970']"
2012-10-10,"['002236' '002081' '002304' '000049' '002241' '002051' '000789' '600111'
 '600519' '000970']"
2012-10-11,"['002236' '002081' '002304' '000049' '002241' '002051' '000789' '600111'
 '600519' '000970']"
2012-10-12,"['002236' '002081' '002304' '000049' '002241' '600111' '002051' '600519'
 '000789' '000970']"
2012-10-15,"['002236' '002304' '002081' '000049' '002241' '600519' '600111' '000789'
 '002051' '000799']"
2012-10-16,"['002236' '002304' '002081' '000049' '002241' '600519' '000789' '600111'
 '002051' '000799']"
2012-10-17,"['002236' '002304' '002081' '000049' '002241' '000789' '600519' '600111'
 '002051' '000799']"
2012-10-18,"['002236' '002081' '000049' '002241' '000789' '600519' '002051' '000799'
 '600111' '000970']"
2012-10-19,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '000799'
 '002051' '600111']"
2012-10-22,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '000799'
 '002051' '600111']"
2012-10-23,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '600111']"
2012-10-24,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '600111']"
2012-10-25,"['002236' '002304' '002081' '000049' '002241' '600519' '000789' '000799'
 '002051' '600111']"
2012-10-26,"['002236' '002081' '002304' '000049' '002241' '600519' '000799' '002051'
 '000789' '000703']"
2012-10-29,"['002236' '002081' '002304' '000049' '002241' '600519' '002051' '000789'
 '000799' '000703']"
2012-10-30,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '000703']"
2012-10-31,"['002236' '002081' '002304' '000049' '002241' '600519' '000789' '002051'
 '000799' '600111']"
2012-11-01,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '600111']"
2012-11-02,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '600111']"
2012-11-05,"['002236' '002081' '002304' '000049' '002241' '000789' '600519' '002051'
 '000799' '600111']"
2012-11-06,"['002236' '002081' '002304' '000049' '002241' '000789' '002051' '600111'
 '600519' '000799']"
2012-11-07,"['002236' '002081' '002304' '000049' '002241' '000789' '600111' '002051'
 '600519' '000970']"
2012-11-08,"['002236' '002081' '002304' '000049' '002241' '002051' '000789' '600111'
 '600519' '600436']"
2012-11-09,"['002236' '002081' '002304' '000049' '002241' '000789' '002051' '600111'
 '600519' '600436']"
2012-11-12,"['002236' '002081' '002304' '000049' '002241' '600111' '002051' '000789'
 '600519' '000970']"
2012-11-13,"['002236' '002081' '002304' '000049' '002241' '600111' '002051' '000789'
 '600519' '000970']"
2012-11-14,"['002236' '002081' '002304' '000049' '002241' '600111' '002051' '600519'
 '000789' '000970']"
2012-11-15,"['002236' '002081' '002304' '000049' '002241' '600111' '002051' '600490'
 '600519' '000789']"
2012-11-16,"['002236' '002304' '000049' '002241' '600111' '002051' '600490' '600519'
 '000789' '600436']"
2012-11-19,"['002236' '002304' '000049' '002241' '600111' '002051' '000789' '000970'
 '600436' '600490']"
2012-11-20,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000789'
 '000970' '600436']"
2012-11-21,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000789'
 '600490' '000970']"
2012-11-22,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000789'
 '000970' '600490']"
2012-11-23,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000789'
 '600519' '000970']"
2012-11-26,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000970'
 '000789' '600490']"
2012-11-27,"['002236' '002081' '000049' '002304' '002241' '600111' '002051' '000970'
 '600519' '600490']"
2012-11-28,"['002236' '002081' '002304' '002241' '000049' '002051' '600111' '600519'
 '000970' '600490']"
2012-11-29,"['002236' '002081' '002304' '002241' '000049' '002051' '600111' '600519'
 '000970' '600490']"
2012-11-30,"['002236' '002081' '002304' '002241' '000049' '002051' '600111' '600519'
 '600436' '000970']"
2012-12-03,"['002236' '002081' '002241' '000049' '002304' '002051' '600111' '600436'
 '000970' '600535']"
2012-12-04,"['002236' '002081' '002241' '000049' '002304' '002051' '600111' '600436'
 '000789' '000970']"
2012-12-05,"['002236' '002081' '002241' '000049' '002304' '002051' '600111' '000789'
 '600436' '000970']"
2012-12-06,"['002236' '002081' '002241' '000049' '002304' '002051' '600111' '000789'
 '600436' '600490']"
2012-12-07,"['002236' '002081' '002241' '000049' '002304' '000789' '002051' '600111'
 '600436' '000970']"
2012-12-10,"['002236' '002081' '002241' '000049' '002304' '002051' '000789' '600111'
 '000970' '600490']"
2012-12-11,"['002236' '002081' '002241' '000049' '002304' '002051' '000789' '600111'
 '000970' '600436']"
2012-12-12,"['002236' '002081' '002241' '000049' '002304' '002051' '000789' '600111'
 '600490' '000970']"
2012-12-13,"['002236' '002081' '002241' '000049' '002304' '002051' '000789' '600111'
 '000970' '600490']"
2012-12-14,"['002236' '002081' '002241' '000049' '000789' '002051' '002304' '600111'
 '000970' '600490']"
2012-12-17,"['002236' '002081' '002304' '002241' '000789' '000049' '600111' '002051'
 '000970' '600490']"
2012-12-18,"['002236' '002081' '002304' '000789' '600111' '002241' '000049' '002051'
 '000970' '600490']"
2012-12-19,"['002236' '002081' '002304' '002241' '600111' '000789' '000049' '002051'
 '000970' '600519']"
2012-12-20,"['002236' '002081' '600111' '002241' '002304' '000049' '000789' '000970'
 '002051' '600259']"
2012-12-21,"['002236' '002081' '002241' '600111' '000049' '002304' '000789' '000970'
 '002051' '600259']"
2012-12-24,"['002236' '002081' '002241' '000049' '600111' '000789' '002304' '000970'
 '600259' '002051']"
2012-12-25,"['002236' '002081' '000049' '002241' '600111' '000789' '002304' '000970'
 '002051' '600259']"
2012-12-26,"['002236' '002081' '000049' '002241' '600111' '000789' '002304' '002051'
 '000970' '600259']"
2012-12-27,"['002236' '002081' '002241' '000049' '600111' '002304' '000789' '000970'
 '002051' '600259']"
2012-12-28,"['002236' '002081' '002241' '000049' '600111' '002304' '000789' '000970'
 '002051' '600259']"
2012-12-31,"['002236' '002081' '002241' '000049' '600111' '000789' '002304' '000970'
 '002051' '600436']"
2013-01-04,"['002236' '002081' '000049' '002241' '600111' '002304' '000789' '000970'
 '600259' '002051']"
2013-01-07,"['002236' '002081' '000049' '002241' '600111' '000789' '002304' '000970'
 '600259' '002051']"
2013-01-08,"['002236' '002081' '000049' '002241' '002304' '600111' '000789' '600259'
 '000970' '002051']"
2013-01-09,"['002236' '002081' '000049' '002304' '002241' '600111' '000789' '002051'
 '600259' '000970']"
2013-01-10,"['002236' '002081' '000049' '002304' '002241' '600111' '000789' '000970'
 '600490' '002051']"
2013-01-11,"['002236' '002081' '000049' '002241' '002304' '600111' '000671' '000789'
 '600259' '000970']"
2013-01-14,"['002236' '002081' '000049' '002241' '002304' '600111' '000789' '000970'
 '000671' '600259']"
2013-01-15,"['002236' '002081' '000049' '002241' '002304' '600111' '000970' '000789'
 '000671' '002051']"
2013-01-16,"['002236' '002081' '000049' '002241' '002304' '600111' '000970' '002051'
 '000671' '600259']"
2013-01-17,"['002236' '000049' '002241' '002304' '600111' '002051' '002035' '000671'
 '000970' '600490']"
2013-01-18,"['002236' '000049' '002241' '002035' '002304' '000671' '600111' '002051'
 '600490' '000970']"
2013-01-21,"['002236' '000049' '002035' '002241' '002304' '000671' '600111' '002051'
 '000789' '600490']"
2013-01-22,"['002236' '002081' '000049' '002241' '002035' '000671' '002304' '600111'
 '000789' '002051']"
2013-01-23,"['002236' '002081' '000049' '002241' '002035' '600111' '002304' '000671'
 '002051' '000789']"
2013-01-24,"['002236' '002081' '000049' '002035' '002241' '000671' '600111' '002304'
 '002051' '000789']"
2013-01-25,"['002236' '002081' '000049' '002035' '000671' '002241' '600111' '002051'
 '600436' '000789']"
2013-01-28,"['002236' '002081' '000049' '002035' '000671' '000789' '002241' '600111'
 '002051' '000970']"
2013-01-29,"['002236' '002081' '000049' '002035' '000671' '002241' '000789' '600111'
 '002051' '000970']"
2013-01-30,"['002236' '002081' '000049' '002035' '000671' '002241' '000789' '600111'
 '002051' '000970']"
2013-01-31,"['002236' '002081' '000049' '002035' '002241' '000789' '000671' '600111'
 '002051' '600433']"
2013-02-01,"['002236' '002081' '000049' '002035' '000789' '000581' '002241' '000671'
 '600433' '002051']"
2013-02-04,"['002236' '002081' '000049' '000789' '000581' '002035' '002241' '600433'
 '600111' '000671']"
2013-02-05,"['002236' '002081' '000049' '000789' '000581' '002241' '002035' '000671'
 '600433' '600111']"
2013-02-06,"['002236' '002081' '000049' '000581' '002241' '000789' '002035' '600433'
 '000970' '600111']"
2013-02-07,"['002236' '002081' '000049' '002035' '002241' '000581' '000789' '600433'
 '000970' '600111']"
2013-02-08,"['002236' '002081' '000049' '002035' '000581' '002241' '000789' '600433'
 '000970' '000671']"
2013-02-18,"['002236' '002081' '000049' '000581' '002035' '600433' '000789' '002241'
 '000970' '600490']"
2013-02-19,"['002236' '002081' '000049' '000581' '002035' '600433' '002241' '000789'
 '000970' '600490']"
2013-02-20,"['002236' '002081' '000049' '002035' '000581' '600433' '002241' '600490'
 '000789' '600436']"
2013-02-21,"['002236' '002081' '000049' '600433' '002035' '000581' '002241' '600490'
 '600436' '000970']"
2013-02-22,"['002236' '002081' '000049' '600433' '002035' '002241' '000581' '600490'
 '002051' '600436']"
2013-02-25,"['002236' '002081' '000049' '002035' '002241' '000581' '600490' '600436'
 '002051' '000970']"
2013-02-26,"['002236' '002081' '000049' '600433' '002035' '002241' '000581' '600490'
 '600436' '002051']"
2013-02-27,"['002236' '002081' '600433' '000049' '002035' '002241' '000581' '600490'
 '000671' '600436']"
2013-02-28,"['002236' '002081' '600433' '000049' '002035' '000581' '002241' '600490'
 '000671' '600436']"
2013-03-01,"['002236' '002081' '600433' '000049' '000581' '002035' '002241' '600490'
 '000671' '600436']"
2013-03-04,"['002236' '600433' '002081' '000049' '000581' '002241' '600490' '002035'
 '600436' '600535']"
2013-03-05,"['002236' '600433' '000049' '002081' '002241' '000581' '600490' '002035'
 '600436' '600535']"
2013-03-06,"['002236' '600433' '000049' '002081' '002241' '000581' '600490' '002035'
 '600436' '600535']"
2013-03-07,"['002236' '600433' '002081' '000049' '002241' '600490' '000581' '002035'
 '600436' '600535']"
2013-03-08,"['002236' '000049' '002081' '002241' '600490' '000581' '002035' '600436'
 '600535' '000970']"
2013-03-11,"['002236' '000049' '002081' '002241' '600490' '000581' '002035' '600436'
 '600535' '000970']"
2013-03-12,"['002236' '600433' '000049' '002081' '002241' '600490' '000581' '002035'
 '600436' '600535']"
2013-03-13,"['002236' '600433' '000049' '002081' '002241' '600490' '000581' '600535'
 '600436' '002035']"
2013-03-14,"['002236' '600433' '000049' '002081' '002241' '600490' '000581' '600535'
 '600436' '002035']"
2013-03-15,"['002236' '600433' '000049' '002081' '002241' '600490' '000581' '600535'
 '600436' '002035']"
2013-03-18,"['002236' '600433' '000049' '002081' '002241' '000581' '600490' '002035'
 '600535' '600436']"
2013-03-19,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000581'
 '600535' '600436']"
2013-03-20,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000581'
 '600535' '600436']"
2013-03-21,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000581'
 '600535' '600436']"
2013-03-22,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000581'
 '600436' '600535']"
2013-03-25,"['002236' '000049' '600433' '002241' '002081' '002035' '600490' '000581'
 '600436' '600535']"
2013-03-26,"['002236' '000049' '600433' '002241' '002081' '002035' '600490' '000581'
 '600436' '600535']"
2013-03-27,"['002236' '600433' '000049' '002241' '002081' '002035' '600490' '000581'
 '600436' '600535']"
2013-03-28,"['002236' '000049' '600433' '002241' '002081' '002035' '600490' '600436'
 '600535' '000581']"
2013-03-29,"['002236' '000049' '600433' '002241' '002081' '002035' '600490' '600436'
 '600535' '000581']"
2013-04-01,"['002236' '000049' '600433' '002241' '002081' '002035' '600490' '600436'
 '600535' '000581']"
2013-04-02,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000671'
 '000581' '600436']"
2013-04-03,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000671'
 '600436' '600535']"
2013-04-08,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000581'
 '600535' '600436']"
2013-04-09,"['002236' '000049' '600433' '002081' '002241' '002035' '600490' '000671'
 '600535' '600436']"
2013-04-10,"['002236' '600433' '000049' '002081' '002241' '002035' '600490' '000671'
 '600535' '000581']"
2013-04-11,"['002236' '600433' '000049' '002081' '002241' '002035' '600490' '000671'
 '000581' '600436']"
2013-04-12,"['002236' '600433' '000049' '002081' '002241' '002035' '600490' '000671'
 '000581' '600535']"
2013-04-15,"['002236' '600433' '000049' '002081' '002241' '002035' '000671' '600490'
 '000581' '600535']"
2013-04-16,"['002236' '600433' '000049' '002081' '002241' '002035' '000671' '600490'
 '000581' '600535']"
2013-04-17,"['002236' '600433' '000049' '002081' '002241' '002035' '000671' '600490'
 '600535' '000581']"
2013-04-18,"['002236' '600433' '000049' '002081' '002241' '002035' '000671' '600490'
 '600535' '000581']"
2013-04-19,"['002236' '600433' '000049' '002081' '002035' '002241' '000671' '600490'
 '000581' '600535']"
2013-04-22,"['002236' '600433' '000049' '002081' '002035' '002241' '000671' '600490'
 '000581' '600535']"
2013-04-23,"['002236' '600433' '000049' '002241' '002081' '002035' '600490' '000671'
 '600535' '600436']"
2013-04-24,"['002236' '600433' '000049' '002081' '002241' '002035' '600490' '600535'
 '000671' '600228']"
2013-04-25,"['002236' '600433' '000049' '002081' '002241' '002035' '600490' '600535'
 '000671' '600332']"
2013-04-26,"['002236' '600433' '000049' '002081' '002241' '002035' '000671' '600535'
 '600490' '600228']"
